Name,Net_Worth_USD,Height_cm,Status,Source_of_Wealth
Christian James Sr.,837169882,207.63,Deceased,Banking
Tiger Woods,800000000,185,Living,Sports
Benjamin Green,775412178,196.94,Deceased,Agriculture
Jesse Dixon,774573714,174.84,Deceased,Entertainment
Jacob Sanders,774236926,150.31,Deceased,Real Estate
Jeremy Ferguson,760035437,152.83,Deceased,Transportation
Bobby Collins,745089791,192.65,Living,Technology
Bobby Armstrong,738130636,200.12,Living,Oil & Gas
Joe Jackson,736509919,160.5,Living,Media
Victor Ross,717990574,206.48,Deceased,Banking
Bryan Reyes Jr.,699434486,177.78,Deceased,Entertainment
Kyle Romero,698737285,195.92,Deceased,Sports
Nathan Bradley,689537067,190.28,Deceased,Investment
Jesse Morales,684740173,166.27,Deceased,Insurance
Larry Scott Sr.,643841175,183.78,Deceased,Technology
Charles Carroll,612459839,180.36,Deceased,Media
Joshua Ward,602438409,151.68,Living,Transportation
Lionel Messi,600000000,170,Living,Sports
Martin Gonzalez,594430524,204.41,Living,Banking
Edward Grant,582264085,151.42,Deceased,Entertainment
Jack Lawson II,580178929,200.58,Living,Food & Beverage
Roy Kennedy,576295864,188.13,Deceased,Luxury
Jesse Torres,553590924,187.08,Deceased,Retail
Roger Federer,550000000,185,Living,Sports
Samuel Moore,547009132,197.94,Living,Investment
Stephen Stone,546929248,181.31,Deceased,Telecommunications
Jerry Edwards,539241003,186.95,Deceased,Luxury
Joshua Duncan IV,530025546,199.15,Deceased,Agriculture
Ryan Wilson,518546997,199.66,Deceased,Retail
Billy Fox,517031876,174.54,Living,Media
Scott Z. Morales,516686806,205.9,Living,Entertainment
Philip F. Carpenter,514482790,158.34,Deceased,Automotive
Cristiano Ronaldo,500000000,187,Living,Sports
Edward Marshall,469473074,160.24,Deceased,Media
Jason Reyes,457859687,186.12,Living,Luxury
Floyd Mayweather,450000000,173,Living,Sports
Michael W. Dunn,405230761,155.18,Living,Oil & Gas
Michael Reynolds,394001608,209.66,Deceased,Retail
Johnny Wood,393177208,181.44,Deceased,Retail
Nicholas Reynolds,378194709,179.82,Living,Agriculture
Ethan Chavez,376505456,154.55,Deceased,Insurance
Peter Walker,375236460,202.7,Deceased,Retail
Ryan Thomas,371503620,173.72,Living,Automotive
Brian Hunter,359758411,190.78,Deceased,Oil & Gas
Brian W. Campbell,355662220,190.53,Living,Banking
Mark Long,342031270,201.3,Deceased,Automotive
Walter Gordon,341496691,162.08,Living,Media
Joshua Barnes,334586817,203.98,Deceased,Construction
Juan Crawford,330707212,182.24,Deceased,Luxury
Walter Tucker,324859404,165.55,Living,Healthcare
Charles Gibson,318139875,152.55,Living,Luxury
Dennis Allen III,313130180,186.93,Deceased,Technology
Jason Perry IV,311387469,156.27,Deceased,Agriculture
Justin Coleman,311039608,161.9,Deceased,Banking
Nathan Riley,308605674,153.94,Living,Mining
Carl Patel,300905304,157.64,Living,Pharmaceuticals
Serena Williams,300000000,175,Living,Sports
John Adams,293467264,178.61,Deceased,Telecommunications
Adam Gonzalez,276049175,193.06,Living,Transportation
Sean Lawrence,272238861,189.89,Living,Oil & Gas
Tom Brady,250000000,193,Living,Sports
Vincent Lewis Sr.,243416150,180.73,Deceased,Media
Mason Peterson,242930544,206.04,Living,Telecommunications
Tyler Jackson,242768580,165.9,Living,Food & Beverage
Ryan Cox,242299624,200.39,Living,Entertainment
Bryan X. Marshall,241093026,185.56,Living,Real Estate
Patrick Murray,232972161,201.61,Deceased,Healthcare
Justin Henderson II,228351147,187.18,Deceased,Automotive
Jonathan E. Porter,227499025,167.84,Deceased,Manufacturing
Tyler Kelly,225474009,197.56,Deceased,Finance
Charles Flores,223328406,205.22,Deceased,Pharmaceuticals
Louis Fox,221276717,159.1,Living,Media
Jordan Morris,218831346,209.0,Deceased,Mining
David West,216739530,153.92,Deceased,Energy
William Morgan,205141341,151.07,Deceased,Retail
Jeremy Brooks,202922730,192.39,Living,Manufacturing
Johnny U. Russell,201559502,201.44,Deceased,Oil & Gas
Conor McGregor,200000000,175,Living,Sports
Johnny Henry,194095936,189.63,Deceased,Food & Beverage
Jeremy Hudson,193308571,180.9,Deceased,Automotive
Edward Ortiz,190669910,169.38,Deceased,Luxury
Tyler White,188137228,206.29,Deceased,Banking
Alexander Tucker,185997770,168.65,Deceased,Banking
Johnny Rose,184940330,202.95,Deceased,Automotive
Jose Robertson,173357350,194.77,Living,Banking
Justin Jordan,169919577,202.78,Deceased,Mining
Stephen Price,169199302,150.17,Living,Mining
Vincent Henderson,158859751,160.73,Living,Telecommunications
Dylan Perkins II,156103885,197.02,Living,Media
Ronald Boyd,155819788,193.71,Deceased,Insurance
Stephen Nichols,146666170,172.71,Living,Manufacturing
Kenneth Ray,145382366,151.23,Living,Insurance
Jack McDonald,141413897,189.22,Deceased,Telecommunications
Daniel Harper,141325903,173.73,Deceased,Food & Beverage
Philip Hamilton,137986710,196.09,Deceased,Pharmaceuticals
Christopher Cruz,136730036,160.01,Deceased,Aerospace
Scott Gordon,135927266,151.02,Living,Entertainment
Dennis Owens,130387854,181.0,Living,Agriculture
Christian Mitchell,129452114,201.71,Deceased,Telecommunications
Jesse Gomez,123968662,196.1,Deceased,Oil & Gas
Brandon Harper,120264644,194.23,Deceased,Media
Douglas Roberts,119694266,171.42,Deceased,Aerospace
Jordan Y. Romero,116474473,158.51,Living,Technology
Aaron Rose,112017148,201.53,Living,Aerospace
Jack Ferguson,110921346,161.05,Living,Retail
Gary Peters,110550386,164.96,Deceased,Luxury
Wayne Murphy,110533695,196.21,Deceased,Technology
Adam Young,110044653,158.13,Deceased,Healthcare
Bruce Jimenez,108469087,177.8,Deceased,Agriculture
Eugene F. Rose,107691794,157.42,Deceased,Real Estate
Austin Edwards,106867054,157.01,Deceased,Aerospace
Dylan Warren,100237672,184.72,Living,Oil & Gas
Aaron Ramirez,98600199,197.82,Deceased,Technology
John Olson,97532131,183.62,Living,Aerospace
John T. Howard,96720405,158.66,Living,Finance
Jack Greene,94890728,166.18,Living,Fashion
Anthony Wright,94632012,184.52,Living,Banking
Jerry Barnes,94491094,189.13,Deceased,Healthcare
Juan Lane,92426466,169.77,Deceased,Energy
Edward Wright,92020720,194.31,Living,Finance
Noah Weaver,91949057,165.67,Deceased,Pharmaceuticals
Andrew Owens,91448104,195.49,Deceased,Food & Beverage
David Sanders,91108027,180.56,Living,Technology
Andrew Hudson,90006682,158.69,Living,Pharmaceuticals
Bradley Wood,89667206,193.18,Deceased,Healthcare
Charles Cunningham,89632953,178.2,Deceased,Banking
Jason Elliott,88991490,175.44,Living,Fashion
Peter Spencer,88802530,199.26,Living,Telecommunications
Douglas Gordon,88727988,161.96,Living,Sports
Bryan Rice,88108261,209.32,Living,Transportation
Dylan Kelley,86925402,156.69,Deceased,Pharmaceuticals
Stephen Chavez,86195825,161.34,Deceased,Pharmaceuticals
Tyler Y. Bennett,86021308,175.54,Living,Retail
Eugene Barnes,85909369,182.28,Living,Energy
Arthur Elliott IV,85589285,169.3,Deceased,Pharmaceuticals
Bradley Mendoza,85544379,157.7,Living,Telecommunications
Bobby Ferguson,84594736,174.59,Deceased,Real Estate
Jerry Carpenter,81557082,201.4,Deceased,Investment
Eric Lane,81037066,209.85,Living,Agriculture
Jonathan Martinez,81004464,185.21,Deceased,Fashion
Andrew Hall,80354774,153.44,Deceased,Technology
Dennis Patel,80157194,188.64,Living,Manufacturing
Jeffrey Fisher,80104266,189.85,Living,Aerospace
Austin Willis,80062063,206.73,Living,Oil & Gas
Michael Chavez,78230359,207.84,Deceased,Retail
Patrick C. Jordan,77823802,185.29,Deceased,Insurance
Richard White,77556649,177.16,Living,Construction
Henry Carpenter,76904765,194.78,Living,Banking
Jeffrey Fisher,75771363,197.62,Deceased,Food & Beverage
Zachary U. Clark,75258908,184.19,Living,Investment
Austin Perkins Jr.,75253034,206.13,Living,Energy
Jeremy Cooper,75171786,192.9,Living,Media
Dylan Bell,74297592,188.42,Living,Investment
Austin Cole,73361419,165.35,Living,Entertainment
Joshua U. Hunt,73179348,176.03,Deceased,Sports
Tyler J. Sullivan,72989049,184.25,Living,Healthcare
Lawrence B. Lawson Sr.,71908180,199.23,Living,Food & Beverage
Zachary Wallace,71768994,193.33,Living,Agriculture
James Bailey,71208345,176.11,Living,Entertainment
Christopher S. Clark IV,71091771,208.07,Living,Aerospace
Gerald Stewart,71018307,160.4,Deceased,Pharmaceuticals
Albert Gordon,70838829,202.61,Deceased,Insurance
Jeremy Perry,70547310,202.53,Living,Energy
Eugene Roberts,69709539,192.9,Living,Pharmaceuticals
Andrew Warren,69568165,179.64,Living,Sports
Keith Peterson,69481865,179.3,Living,Transportation
Jesse Lawrence,69297933,166.69,Living,Transportation
Vincent Marshall,69071075,176.69,Living,Banking
Edward Edwards,68051876,200.41,Living,Healthcare
Peter Morgan,67940829,203.29,Deceased,Energy
Roger Edwards,67924227,172.65,Living,Technology
Robert Coleman,67893819,175.04,Deceased,Agriculture
Brian Olson,67511936,165.96,Living,Technology
Alexander L. Austin,66669212,194.13,Deceased,Energy
Gregory S. Spencer,63965176,179.67,Deceased,Oil & Gas
Gerald Rose,62550796,194.18,Living,Retail
Roy Martinez,62522793,201.3,Deceased,Technology
Ronald Ruiz,62350522,152.75,Living,Sports
Jacob Wells,61831479,152.77,Deceased,Finance
Ralph Mason,61769355,154.55,Living,Automotive
Justin Crawford,61313385,201.38,Deceased,Investment
David Crawford,61152924,165.98,Deceased,Technology
Christian Gordon,60916507,184.86,Deceased,Energy
Walter Rivera,60039624,166.35,Living,Oil & Gas
Louis Fisher,59930979,162.04,Living,Entertainment
Dylan West,59911795,179.59,Living,Real Estate
Samuel Y. Berry,59911273,165.59,Living,Healthcare
Roger Armstrong,59775693,158.48,Living,Healthcare
Richard Gonzales,59479928,176.03,Living,Manufacturing
Kevin Brown,56697296,179.28,Living,Aerospace
Noah Armstrong,56388175,195.26,Living,Oil & Gas
Daniel Collins,55936631,195.64,Deceased,Pharmaceuticals
Lawrence Carpenter,55902499,171.29,Living,Food & Beverage
Jeffrey X. Watson,55861417,208.36,Living,Automotive
Peter Wallace,55667510,177.88,Deceased,Construction
Randy Gomez,55615792,169.73,Deceased,Luxury
Jacob Henderson,55404852,187.92,Living,Transportation
Carl Ellis,54638040,182.56,Living,Technology
Robert A. Richardson,54479269,156.84,Living,Agriculture
Robert Williams,53721596,153.5,Living,Fashion
Daniel Kennedy,53647803,198.12,Deceased,Manufacturing
Steven Lane,53483663,163.64,Living,Automotive
Benjamin Weaver,53383380,150.89,Deceased,Manufacturing
Jerry Martin,53315294,207.95,Living,Entertainment
Matthew Harper,52873427,158.9,Living,Entertainment
Christopher Lee,52403786,163.86,Living,Media
Jerry Robinson,52339268,166.4,Deceased,Oil & Gas
Philip Carroll,51569286,163.78,Deceased,Entertainment
Larry N. Nichols,51032243,184.64,Living,Retail
Willie Snyder,49912730,172.33,Living,Oil & Gas
Stephen Hernandez,49723486,188.32,Deceased,Telecommunications
Kenneth Martinez,49471434,206.29,Deceased,Retail
Gerald Robinson,49265643,184.96,Deceased,Media
Douglas Edwards,49042583,153.57,Living,Automotive
Jacob Kennedy,48235452,165.29,Living,Manufacturing
Martin Wells,47304963,198.78,Deceased,Sports
Kenneth Coleman,46670454,181.21,Living,Media
Douglas Powell,45635674,176.39,Deceased,Agriculture
Benjamin Henderson,45579675,180.8,Deceased,Telecommunications
Carl Webb,45301339,156.09,Deceased,Oil & Gas
Peter Olson,45189736,206.15,Living,Telecommunications
Andrew Cole Sr.,44318387,183.01,Deceased,Real Estate
Lawrence Murphy,44261125,201.03,Living,Healthcare
Bradley Z. Bradley,44255404,167.71,Living,Agriculture
Jonathan Perry,44121034,153.9,Living,Investment
Peter N. Torres,43832256,187.49,Living,Energy
Christopher Young,42906596,205.66,Living,Telecommunications
Dennis Ortiz,42884118,195.06,Deceased,Banking
David Howard,42264570,190.38,Living,Real Estate
Robert Mills,41479180,150.86,Living,Fashion
Eric Price,41149105,160.33,Deceased,Construction
Jeffrey W. Sullivan,40736567,150.2,Deceased,Automotive
Gabriel Lane,40606985,173.16,Deceased,Real Estate
Mark Wagner,40295419,155.98,Deceased,Transportation
Noah Ray,39393531,161.09,Deceased,Finance
Ethan Parker,39338179,168.51,Deceased,Oil & Gas
Sean Elliott,39333434,202.01,Deceased,Transportation
Philip Hicks,39202119,170.04,Living,Construction
Joshua Garcia,39099002,172.57,Deceased,Manufacturing
Daniel Fox,38616129,192.31,Living,Mining
Roy Long,38111491,182.21,Deceased,Manufacturing
Larry Diaz,37924581,207.35,Deceased,Mining
Donald Rice,37453965,172.49,Deceased,Sports
Steven Campbell,37340253,186.93,Living,Fashion
Anthony Harper,37338845,157.29,Deceased,Oil & Gas
Randy Robinson,36962090,189.55,Living,Manufacturing
Gerald Peterson,36831978,186.7,Living,Luxury
Mark J. King,36640500,198.24,Living,Luxury
Brian Wright,36077260,198.65,Living,Automotive
David Vasquez,34979180,168.0,Living,Investment
Andrew Garcia,34958923,157.25,Living,Retail
Samuel Bennett,34698604,163.84,Living,Aerospace
Keith Morris,34637558,193.03,Living,Fashion
Donald Kim,34154021,178.79,Deceased,Energy
Eugene Long,34137238,209.23,Deceased,Agriculture
Ralph Gomez,33597226,154.88,Deceased,Real Estate
Zachary Holmes,33091927,204.36,Deceased,Investment
James Kelley,32913602,202.04,Deceased,Finance
Kevin Grant,32867991,190.69,Deceased,Technology
Andrew Hughes,32660264,195.13,Living,Energy
Alexander C. Mendoza,32421996,156.27,Living,Investment
Bradley Wilson,32201879,177.2,Deceased,Construction
Alexander Ferguson,31848513,150.56,Deceased,Transportation
Jeremy Berry,31816214,201.51,Deceased,Technology
Keith Hall,31693413,209.83,Deceased,Finance
Keith Ward,31598387,177.4,Deceased,Manufacturing
Gregory Jimenez,31572375,198.46,Deceased,Finance
Bradley Sullivan,31467659,175.57,Living,Luxury
Ralph Miller,31123949,185.0,Deceased,Agriculture
Samuel White,30922861,163.94,Living,Banking
Aaron Watkins,30769133,199.5,Deceased,Pharmaceuticals
Ralph Myers,30758931,173.05,Living,Oil & Gas
Charles Brooks,30711462,201.5,Living,Retail
Ronald Jackson,30706764,150.12,Deceased,Fashion
Scott H. Bradley,30462668,163.85,Living,Sports
Adam Cox,30192217,167.12,Deceased,Retail
Roy Jordan,30165643,184.98,Deceased,Agriculture
Gregory O. Dixon,29857208,203.69,Living,Mining
Paul Johnson,29725128,161.8,Living,Technology
Bradley Jordan,29435616,190.04,Deceased,Food & Beverage
Douglas Davis,29362067,176.92,Living,Insurance
Randy Evans,29285333,186.47,Living,Aerospace
Wayne Ross,29259026,206.86,Living,Transportation
Martin U. Rogers,29205573,175.82,Living,Telecommunications
Jacob Ellis,29163149,156.33,Deceased,Luxury
Gabriel M. Porter,29134937,180.05,Deceased,Real Estate
Keith Moore,29130840,170.8,Deceased,Construction
Austin Kim,29034673,201.68,Living,Aerospace
Joshua Parker,28669285,175.85,Deceased,Oil & Gas
Jordan G. Williams II,28638752,197.99,Living,Automotive
Jonathan Cox II,28613986,188.25,Deceased,Insurance
Martin Mitchell,28540126,168.02,Living,Mining
Victor Hunter,28174949,152.87,Deceased,Technology
Mason Boyd,27195713,175.94,Living,Telecommunications
Samuel Gutierrez,26870262,167.62,Living,Finance
Roger Collins,26753812,167.04,Deceased,Retail
Kenneth Marshall,26407814,177.04,Living,Insurance
Roger Black,26205988,162.27,Deceased,Food & Beverage
Aaron Morgan,26083661,191.33,Deceased,Food & Beverage
Harold Ferguson,25820091,160.63,Deceased,Retail
Alexander Perkins,25373672,176.07,Living,Energy
Noah Mason,25297712,191.1,Deceased,Oil & Gas
John B. Simpson,25130266,175.79,Deceased,Real Estate
Gregory Cox,25022075,200.55,Living,Luxury
William Baker,24952951,164.59,Living,Construction
Juan Rogers IV,24728145,176.51,Living,Retail
Robert McDonald,24611191,184.66,Living,Retail
Johnny Chavez Sr.,24150124,157.3,Living,Mining
Carl Stevens,23668846,203.63,Living,Finance
Brandon Stewart,23489095,178.45,Deceased,Food & Beverage
Jack R. Sims,23433649,166.82,Living,Entertainment
Donald Hunt,23120719,151.81,Living,Real Estate
Arthur Hall,22998220,169.0,Living,Real Estate
Jesse Collins,22962225,160.59,Living,Construction
Nicholas Porter,22580779,209.55,Living,Entertainment
Charles Patterson,22550522,183.59,Living,Construction
Matthew Lee,22430549,207.15,Living,Finance
Joshua Dunn,22257504,206.44,Deceased,Manufacturing
Steven Ramos,22029360,169.67,Living,Healthcare
Randy Lawson,21839557,187.38,Deceased,Sports
Nicholas Lewis,21707665,159.85,Deceased,Healthcare
Richard K. Scott,21658987,187.07,Deceased,Luxury
Keith Mendoza,21337235,151.48,Living,Entertainment
Michael Nichols,20783659,152.73,Living,Sports
Dylan Reyes,20681743,164.35,Deceased,Insurance
Matthew Reyes,20678232,170.29,Living,Automotive
Eugene Armstrong,20577994,174.76,Deceased,Energy
Steven Ruiz,20441338,204.19,Living,Mining
Kyle Lawrence,20419021,185.63,Deceased,Retail
Christopher Romero,20412370,155.2,Deceased,Healthcare
Noah Collins Jr.,20319497,203.11,Living,Agriculture
Johnny Franklin,20166384,201.63,Living,Aerospace
Joe Grant,20147710,167.18,Living,Insurance
Jason Willis,19925343,173.12,Living,Automotive
Walter Z. Evans,19903322,190.7,Deceased,Energy
David Chavez,19493160,177.03,Living,Media
Ralph Hall,19091172,164.39,Deceased,Luxury
Zachary Perez,19007590,207.27,Living,Aerospace
Roy Stone,18908387,156.99,Deceased,Aerospace
Edward Wright,18739671,163.76,Living,Food & Beverage
Eric Foster,18531599,186.34,Living,Investment
Nicholas Ray,18127573,174.9,Deceased,Agriculture
Robert Wagner,18049469,206.44,Living,Automotive
Sean Ferguson,18033894,172.54,Living,Construction
Alan Warren,17685420,165.17,Deceased,Mining
Roy W. Howard,17545003,198.92,Deceased,Sports
Jerry E. Morales,17454100,158.09,Deceased,Finance
Dennis Jones,17364592,171.79,Living,Investment
Charles Perkins,17242654,174.76,Deceased,Investment
Walter W. Evans,17221680,203.55,Living,Sports
Nathan Ruiz,17103189,161.15,Deceased,Agriculture
Brandon Simmons,16866597,202.65,Living,Banking
Ronald G. Price,16797499,207.8,Deceased,Automotive
Ronald Gonzalez,16723652,185.01,Deceased,Luxury
Robert Lawrence Jr.,16501469,169.77,Deceased,Transportation
Gregory Gomez,16335949,167.47,Living,Food & Beverage
Alexander Crawford,16308676,150.91,Deceased,Retail
Randy Davis,16293457,178.58,Deceased,Oil & Gas
Nathan White,16211639,174.3,Deceased,Pharmaceuticals
Richard Campbell,16181021,151.95,Living,Aerospace
Billy Kennedy,16042285,156.53,Living,Insurance
Ralph Palmer,15961506,197.34,Deceased,Construction
Juan Stevens,15957328,205.9,Living,Aerospace
Eric Martinez,15871243,162.07,Living,Luxury
Samuel Reed,15387115,184.96,Living,Luxury
Nicholas Pierce,15338695,209.59,Living,Investment
Edward Rivera,15131442,187.9,Living,Technology
Roy H. Cole,14946844,161.99,Living,Food & Beverage
Benjamin Warren,14778109,193.1,Deceased,Pharmaceuticals
Scott Nichols,14747099,194.12,Deceased,Oil & Gas
Victor Bradley,14630994,200.66,Deceased,Transportation
Eric N. Richardson,14596074,175.58,Living,Manufacturing
Peter Murray,14559543,186.88,Deceased,Energy
Kevin Thomas,14131327,167.63,Living,Construction
Jacob Bradley,14029702,151.24,Living,Fashion
Christian Rodriguez,13866372,152.32,Deceased,Technology
Ralph Morgan,13827590,165.75,Living,Pharmaceuticals
Jeremy Palmer,13767303,209.85,Living,Manufacturing
Adam Sims,13759096,206.74,Deceased,Entertainment
Alan C. Gordon,13746645,202.31,Deceased,Manufacturing
Patrick Snyder,13633581,150.5,Living,Food & Beverage
Peter Rice,12945137,166.6,Deceased,Technology
Jack Jimenez,12701068,158.09,Living,Agriculture
Jeremy Alvarez,12346249,191.18,Living,Entertainment
Bradley V. Weaver,12343437,203.33,Living,Telecommunications
George Bennett II,12329449,160.57,Living,Technology
Thomas Hernandez,12256527,175.3,Living,Telecommunications
Edward Graham,12151458,199.66,Living,Agriculture
Alexander Campbell,11948102,165.61,Living,Automotive
Billy Richardson,11819225,198.79,Deceased,Aerospace
Bradley Sanders,11665692,206.71,Deceased,Transportation
Jordan Ferguson,11630208,155.44,Living,Real Estate
Nathan Ward,11467427,170.92,Deceased,Media
Walter Rogers,11398919,187.19,Living,Aerospace
Vincent Lawson,11352729,161.73,Deceased,Fashion
Edward Ortiz,11225684,163.39,Deceased,Aerospace
Steven Franklin,11039833,195.75,Deceased,Banking
Peter Reynolds,11003953,177.57,Living,Investment
Kyle I. Thompson,10954347,154.62,Living,Energy
Mason Wright,10834566,172.13,Deceased,Healthcare
Zachary Green,10726548,204.12,Living,Oil & Gas
Richard Franklin,10682203,183.84,Deceased,Investment
Andrew Mason,10678315,167.96,Deceased,Agriculture
Douglas Collins,10630785,168.26,Deceased,Pharmaceuticals
Timothy Torres,10488733,200.26,Deceased,Automotive
William Walker,10472383,179.96,Living,Sports
Christian F. Edwards,10472130,194.46,Living,Aerospace
Adam Johnson,10409775,186.3,Deceased,Sports
Mason Gibson,10257998,154.78,Deceased,Telecommunications
Roy Sanders,10099073,202.27,Deceased,Energy
Jason C. Gordon,10087814,170.54,Living,Retail
Ralph Nichols,10035047,175.39,Living,Investment
Jose Jenkins,10033110,197.95,Living,Banking
Bruce Reed,9981221,151.91,Deceased,Real Estate
Brian Flores,9970510,198.44,Deceased,Healthcare
Thomas Edwards,9911634,150.33,Living,Agriculture
Thomas Spencer,9910382,167.1,Deceased,Banking
Noah Hawkins Sr.,9900649,198.22,Deceased,Telecommunications
Dennis Kim,9803436,202.1,Living,Construction
Mark Jackson III,9802148,188.53,Living,Entertainment
Jordan Adams,9789491,186.17,Living,Technology
Carl Campbell,9777350,201.19,Deceased,Finance
Peter F. Hughes,9764736,185.33,Deceased,Banking
Randy Rice,9731816,202.24,Deceased,Real Estate
Jesse Collins,9706429,150.41,Deceased,Oil & Gas
Eugene Cole,9664495,205.56,Living,Retail
Louis Reed,9606787,172.96,Living,Fashion
Willie Warren Sr.,9576602,182.19,Living,Pharmaceuticals
Richard Wells,9518004,168.81,Deceased,Luxury
Anthony H. Walker,9502712,169.13,Deceased,Pharmaceuticals
Kevin Holmes,9486760,164.96,Living,Fashion
Timothy Reyes,9455240,166.66,Living,Luxury
Jordan Marshall,9440353,161.85,Living,Entertainment
Andrew Palmer,9404879,164.67,Deceased,Entertainment
Lawrence Kelley,9369674,191.13,Deceased,Sports
Jordan Evans,9362800,188.68,Living,Agriculture
George Kelley,9350205,206.59,Living,Banking
Mark Young,9322572,155.09,Living,Luxury
Austin Owens,9282290,174.93,Deceased,Pharmaceuticals
Jordan H. Watkins Sr.,9275305,154.93,Deceased,Transportation
Timothy Baker,9246736,200.19,Deceased,Telecommunications
Jeremy Stewart,9179587,208.63,Deceased,Energy
Matthew Phillips,9103464,168.44,Living,Construction
Scott Collins,9089502,191.97,Deceased,Investment
Henry Kelley,9040660,157.81,Living,Pharmaceuticals
Thomas Hernandez,9031923,183.54,Deceased,Energy
Ronald Taylor,8981745,202.18,Living,Aerospace
Samuel Nguyen,8892476,194.97,Living,Insurance
Dennis Miller,8819613,170.79,Deceased,Real Estate
Sean Butler Jr.,8785545,173.85,Living,Agriculture
Bobby Elliott,8755785,166.97,Deceased,Manufacturing
Alan Lewis,8719085,160.14,Deceased,Finance
Eugene K. Sims,8665058,157.9,Living,Finance
Jacob R. Murphy,8600577,181.23,Living,Fashion
Robert Warren,8556322,157.95,Living,Sports
Jerry Hernandez III,8540261,177.14,Deceased,Transportation
James Alvarez,8522175,196.55,Deceased,Banking
Brandon Mendoza,8510777,172.92,Living,Media
Steven Allen III,8507566,180.04,Living,Aerospace
Carl Bailey,8499345,195.86,Deceased,Mining
Andrew Martin,8431877,155.39,Deceased,Fashion
Jeffrey Sanders,8411392,192.57,Deceased,Insurance
Matthew C. Rice,8313677,162.57,Deceased,Automotive
Jacob Foster,8311000,198.4,Deceased,Manufacturing
Jordan Romero,8302411,161.0,Living,Aerospace
Mark Morris,8272070,156.91,Living,Luxury
Dennis Hart,8252127,209.76,Deceased,Investment
Johnny Reed,8247072,193.9,Living,Fashion
Adam Morales,8238487,193.44,Deceased,Entertainment
Johnny Hudson,8237548,168.6,Living,Aerospace
Bruce F. Lawson,8167711,185.34,Living,Real Estate
Kyle Owens,8152459,199.47,Living,Energy
